ID_REF,GSM77298,GSM77299,GSM77300,GSM77301,GSM77302,GSM77303,GSM77304,GSM77305,GSM77306,GSM77307,GSM77308,GSM77309,GSM77310,GSM77311,GSM77312,GSM77313,GSM77314,GSM77315,GSM77316,GSM77317,GSM77318,GSM77319,GSM77320,GSM77321,GSM77322,GSM77323,GSM77324,GSM77325,GSM77326,GSM77327,GSM77328,GSM77329,GSM77330,GSM77331,GSM77332,GSM77333,mean,std
YER094C,27.23495865,28.27976799,36.08058929,28.15860558,34.60157394,35.6437912,38.04658508,31.69487953,11.09927368,26.44282532,22.62785339,18.36446762,25.61538696,34.81477356,35.31941223,36.4406395,27.04125023,30.93265152,28.38321495,21.11338997,25.73828697,22.7435627,19.92703819,19.59781647,26.19291878,37.42721939,32.4728508,25.82150269,29.24586678,33.54726791,32.84741974,14.75525188,23.87362671,18.37598419,18.3255806,18.84024811,27.15745367,6.881169826
YER095W,6.601588726,7.631213188,6.808172226,6.580427647,7.811448097,7.215686321,6.590465546,7.024033546,3.876513481,7.581838608,5.825342655,4.773603916,5.948335171,7.170454979,8.012415886,7.308219433,6.073578358,6.896938801,5.827097893,5.483801365,6.500571251,6.959835052,6.422746658,4.836146832,6.429792404,8.364497185,7.041855335,6.654158115,6.173553467,6.114495754,6.669593811,4.505562305,6.525274754,5.576771259,5.125379086,4.735476971,6.379913502,1.017860584
YER096W,0.190692395,0.634682059,1.213393927,1.445444345,2.424242496,2.623093605,3.008667469,3.352142096,0.768765152,0.364349782,0.174657539,0.145177662,0.220436305,0.5,1.134311438,1.791095853,1.848383546,2.505101919,2.655207157,2.09287262,0.570285738,0.161688969,0.096566521,0.1529295,0.267399281,0.847337246,1.311086059,1.716024399,2.013429642,2.703781605,2.751920938,1.73794806,0.400000036,0.130905509,0.109201208,0.14107883,1.227897247,1.020130425
YER097W,0.011350738,0.079768784,0.017026108,0.053993255,0.061728399,0.008714597,0.065005414,0.027168233,0.004842615,0.05493274,0.07191781,0.048730966,0.043628015,0.035227273,0.04401806,0.119863018,0.013377927,0.006122449,0.011122346,0.003239741,0.017142856,0.017507724,0.030042918,0.010923536,0.054945055,0.102958582,0.009049774,0.008113591,0.027892562,0.027310925,0.075740948,0.007416564,0.054945055,0.046259839,0.006066734,0.024896266,0.036194206,0.029008982
YER098W,0.788876295,0.647398829,0.615209997,0.587176621,0.538720548,0.556644857,0.492957711,0.586206913,0.409200966,1.051569581,0.716894984,0.716751218,0.859931171,0.595454574,0.722347617,0.558219194,0.532887399,0.575510204,0.571284115,0.53563714,1.156571388,0.98043251,0.769313276,0.641509414,0.825396836,0.680473387,0.695701361,0.657200873,0.708677649,0.622899175,0.531284332,0.352286756,1.175824165,0.96062988,0.715874612,0.702282071,0.689867712,0.18599413
YER099C,3.923950195,3.305202246,3.994324684,3.442069769,4.212121487,3.639433622,3.286023617,3.772204876,5.659806252,3.006726742,2.589041233,2.838578701,3.498278141,3.798863649,3.995485306,4.275114059,4.176142693,3.712244749,3.397370815,3.317494631,3.949714422,2.651905298,2.604077101,2.603773832,5.343101501,4.650887489,3.812217236,4.08519268,3.713842869,3.575630188,3.672887087,4.983930588,3.34065938,2.498031616,2.475227356,2.790456295,3.6275559,0.758990922
YER100W,3.987514019,4.470520496,4.305334568,4.274465561,4.313131332,4.044661999,4.04658699,4.383490086,3.370460033,3.804932833,3.498858452,3.220304728,3.616533041,4.572727203,5.089164734,5.0787673,5.298773766,4.637754917,4.086956501,3.777537584,3.341714144,3.264675617,3.354077339,2.955312967,4.92674017,5.297041416,4.346154213,4.145030499,4.106404781,4.143907547,3.170142651,3.370828152,3.651648283,2.806102514,2.792719841,3.287344217,3.967731125,0.680366793
YER101C,2.399545908,3.011560678,1.74120307,2.267716646,2.360269547,2.303921461,2.637053013,2.446186066,0.783292949,1.699551702,2.007990837,1.529949188,1.925373197,2.421591043,2.285552979,2.696346998,2.32218504,2.517346859,2.634984732,1.282937407,1.117714286,1.62203908,1.613733888,1.415094376,1.982905984,3.462722063,2.314479828,2.544624805,2.040289164,2.368697643,2.097694874,1.006180406,1.347252727,1.452755928,1.249747157,1.61099577,2.014485758,0.589109704
YER062C,0.803632259,1,0.741203189,1.182227254,1.564534187,1.641612172,1.841820121,3.567398071,6.854722023,0.662556052,1.197488666,1.024365425,0.788748562,0.982954562,1.082392812,1.062785387,1.19843924,1.568367243,2.372092962,14.73866177,1.083428621,0.847579837,1.154506445,0.948361516,0.772893786,1.27692306,0.712669671,1.175456405,1.470041275,1.627100825,2.341383219,16.72805977,0.827472568,1,1.05257833,0.846472979,2.215025841,3.458666713
YER063W,6.060159206,4.567629814,5.896708488,5.647919178,5.07856369,4.120914936,3.932827473,4.020898819,3.182808638,4.674888134,6.577625751,5.183756351,7.559128284,4.863636494,6.96275425,5.103881359,3.654403448,4.948979378,3.706774473,4.568034649,5.172571659,5.977343082,6.236051559,5.276067734,6.24420023,4.804733753,4.298642635,4.092292309,4.014462948,3.410714626,4.164654255,4.761433601,6.204395294,4.9281497,5.561172485,5.72302866,5.032839093,1.019836612
